model,artifact,dataset,variable,metric,depth_m,value
CCM,model_epoch_996.pth,independent,salinity,R2,250,-0.1256878938031032
CCM,model_epoch_996.pth,independent,salinity,R2,300,-0.6278319708043978
CCM,model_epoch_996.pth,independent,salinity,R2,400,-3.965212740981168
CCM,model_epoch_996.pth,independent,salinity,R2,500,-11.187382653796883
CCM,model_epoch_996.pth,independent,salinity,RMSE,10,0.3837850427866855
CCM,model_epoch_996.pth,independent,salinity,RMSE,20,0.2672193880888567
CCM,model_epoch_996.pth,independent,salinity,RMSE,30,0.20533942909653527
CCM,model_epoch_996.pth,independent,salinity,RMSE,50,0.15064543395755312
CCM,model_epoch_996.pth,independent,salinity,RMSE,75,0.13156067557735293
CCM,model_epoch_996.pth,independent,salinity,RMSE,100,0.11381488760404933
CCM,model_epoch_996.pth,independent,salinity,RMSE,125,0.09774762787082628
CCM,model_epoch_996.pth,independent,salinity,RMSE,150,0.07171370071173322
CCM,model_epoch_996.pth,independent,salinity,RMSE,200,0.036993471405720894
CCM,model_epoch_996.pth,independent,salinity,RMSE,250,0.022778876772582755
CCM,model_epoch_996.pth,independent,salinity,RMSE,300,0.02027967749778584
CCM,model_epoch_996.pth,independent,salinity,RMSE,400,0.018766195015595368
CCM,model_epoch_996.pth,independent,salinity,RMSE,500,0.018041019090948143
CCM,model_epoch_996.pth,independent,salinity,MAE,10,0.25707150462479095
CCM,model_epoch_996.pth,independent,salinity,MAE,20,0.19059767813052772
CCM,model_epoch_996.pth,independent,salinity,MAE,30,0.15292154863984933
CCM,model_epoch_996.pth,independent,salinity,MAE,50,0.1165736997726783
CCM,model_epoch_996.pth,independent,salinity,MAE,75,0.10192263512370048
CCM,model_epoch_996.pth,independent,salinity,MAE,100,0.08665004292870783
CCM,model_epoch_996.pth,independent,salinity,MAE,125,0.07349392829042006
CCM,model_epoch_996.pth,independent,salinity,MAE,150,0.05154543901255027
CCM,model_epoch_996.pth,independent,salinity,MAE,200,0.027445162726698745
CCM,model_epoch_996.pth,independent,salinity,MAE,250,0.01774853421515794
CCM,model_epoch_996.pth,independent,salinity,MAE,300,0.016631232707031565
CCM,model_epoch_996.pth,independent,salinity,MAE,400,0.015599151660510362
CCM,model_epoch_996.pth,independent,salinity,MAE,500,0.015331782561792726
CCM,model_epoch_996.pth,independent,salinity,NRMSE,10,17.82682703612658
CCM,model_epoch_996.pth,independent,salinity,NRMSE,20,14.352352879828478
CCM,model_epoch_996.pth,independent,salinity,NRMSE,30,12.469768551372834
CCM,model_epoch_996.pth,independent,salinity,NRMSE,50,12.505833712618255
CCM,model_epoch_996.pth,independent,salinity,NRMSE,75,14.110824051090848
CCM,model_epoch_996.pth,independent,salinity,NRMSE,100,13.851130849973032
CCM,model_epoch_996.pth,independent,salinity,NRMSE,125,14.032679905241938
CCM,model_epoch_996.pth,independent,salinity,NRMSE,150,14.376962648651418
CCM,model_epoch_996.pth,independent,salinity,NRMSE,200,13.456576704938941
CCM,model_epoch_996.pth,independent,salinity,NRMSE,250,13.189640343409833
CCM,model_epoch_996.pth,independent,salinity,NRMSE,300,15.160110012203983
CCM,model_epoch_996.pth,independent,salinity,NRMSE,400,21.08544608532953
CCM,model_epoch_996.pth,independent,salinity,NRMSE,500,29.182678690469643
non-CCM,cnn_100_300_55.h5,held_out,temperature,R2,10,0.9578202610053301
non-CCM,cnn_100_300_55.h5,held_out,temperature,R2,20,0.9081280175602655
non-CCM,cnn_100_300_55.h5,held_out,temperature,R2,30,0.8782227286159701
non-CCM,cnn_100_300_55.h5,held_out,temperature,R2,50,0.8684411816217883
non-CCM,cnn_100_300_55.h5,held_out,temperature,R2,75,0.8798871304524699
non-CCM,cnn_100_300_55.h5,held_out,temperature,R2,100,0.8487832170020742
non-CCM,cnn_100_300_55.h5,held_out,temperature,R2,125,0.8367132878810994
non-CCM,cnn_100_300_55.h5,held_out,temperature,R2,150,0.8277606555180392
non-CCM,cnn_100_300_55.h5,held_out,temperature,R2,200,0.7894884354875693
non-CCM,cnn_100_300_55.h5,held_out,temperature,R2,250,0.7721111994474741
non-CCM,cnn_100_300_55.h5,held_out,temperature,R2,300,0.7171806747018136
non-CCM,cnn_100_300_55.h5,held_out,temperature,R2,400,0.5939211496630237
non-CCM,cnn_100_300_55.h5,held_out,temperature,R2,500,0.6471411384569195
non-CCM,cnn_100_300_55.h5,held_out,temperature,RMSE,10,0.9717240469433739
non-CCM,cnn_100_300_55.h5,held_out,temperature,RMSE,20,1.268039888289646
non-CCM,cnn_100_300_55.h5,held_out,temperature,RMSE,30,1.3898522231119297
non-CCM,cnn_100_300_55.h5,held_out,temperature,RMSE,50,1.54838039143575
non-CCM,cnn_100_300_55.h5,held_out,temperature,RMSE,75,1.5962338297077783
non-CCM,cnn_100_300_55.h5,held_out,temperature,RMSE,100,1.7745656548864546
non-CCM,cnn_100_300_55.h5,held_out,temperature,RMSE,125,1.634650211556981
non-CCM,cnn_100_300_55.h5,held_out,temperature,RMSE,150,1.2591214196893792
non-CCM,cnn_100_300_55.h5,held_out,temperature,RMSE,200,0.7182838557273633
non-CCM,cnn_100_300_55.h5,held_out,temperature,RMSE,250,0.31620023096220634
non-CCM,cnn_100_300_55.h5,held_out,temperature,RMSE,300,0.14503313163655185
non-CCM,cnn_100_300_55.h5,held_out,temperature,RMSE,400,0.08210340032828248
non-CCM,cnn_100_300_55.h5,held_out,temperature,RMSE,500,0.06334395780029718
non-CCM,cnn_100_300_55.h5,held_out,temperature,MAE,10,0.5828650803822081
non-CCM,cnn_100_300_55.h5,held_out,temperature,MAE,20,0.8289280981663852
non-CCM,cnn_100_300_55.h5,held_out,temperature,MAE,30,0.9474913506887872
non-CCM,cnn_100_300_55.h5,held_out,temperature,MAE,50,1.1173109415914577
non-CCM,cnn_100_300_55.h5,held_out,temperature,MAE,75,1.143886003421463
non-CCM,cnn_100_300_55.h5,held_out,temperature,MAE,100,1.2299403868021974
non-CCM,cnn_100_300_55.h5,held_out,temperature,MAE,125,1.1069297286125512
non-CCM,cnn_100_300_55.h5,held_out,temperature,MAE,150,0.8592201419148456
non-CCM,cnn_100_300_55.h5,held_out,temperature,MAE,200,0.442809383926363
non-CCM,cnn_100_300_55.h5,held_out,temperature,MAE,250,0.1952498844835762
non-CCM,cnn_100_300_55.h5,held_out,temperature,MAE,300,0.10253060400176091
non-CCM,cnn_100_300_55.h5,held_out,temperature,MAE,400,0.05864977908113116
non-CCM,cnn_100_300_55.h5,held_out,temperature,MAE,500,0.04651950623487748
non-CCM,cnn_100_300_55.h5,held_out,temperature,NRMSE,10,0.04188465719583508
non-CCM,cnn_100_300_55.h5,held_out,temperature,NRMSE,20,0.05763817674043845
non-CCM,cnn_100_300_55.h5,held_out,temperature,NRMSE,30,0.06949261115559649
non-CCM,cnn_100_300_55.h5,held_out,temperature,NRMSE,50,0.07303681091678066
non-CCM,cnn_100_300_55.h5,held_out,temperature,NRMSE,75,0.07863220835998908
non-CCM,cnn_100_300_55.h5,held_out,temperature,NRMSE,100,0.09913774608304217
non-CCM,cnn_100_300_55.h5,held_out,temperature,NRMSE,125,0.10216563822231131
non-CCM,cnn_100_300_55.h5,held_out,temperature,NRMSE,150,0.10236759509669749
